corrida,tiempo,algoritmo,densidad,resultado,p
0,5.7366,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
1,5.2552,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
2,7.8128,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
3,7.7353,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
4,5.2706,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
5,7.2069,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
6,6.0107,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
7,7.8142,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
8,6.5052,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
9,5.2345,GS,1934,"[0.5, 0.0105868, 0.0110678, 0.0117189, 0.01147, 0.0120257, 0.0111098, 0.00951538, 0.00968084, 0.0105729, 0.0108839, 0.0103437, 0.00922058, 0.0093855, 0.00985864, 0.0111324, 0.0103005, 0.00834303, 0.00999573, 0.0107955, 0.0102899, 0.0102824, 0.00860829, 0.00999567, 0.0121849, 0.00980308, 0.0111134, 0.00900898, 0.0102491, 0.0102827, 0.0102161, 0.00935059, 0.0111906, 0.0105759, 0.010143, 0.00920528, 0.00952568, 0.00884676, 0.00999206, 0.00991511, 0.00972961, 0.0127475, 0.00935789, 0.0111175, 0.0107543, 0.00991917, 0.0109691, 0.00998412, 0.00991931, 0.0070424, 0.00889694, 0.0101825, 0.00968431, 0.00868684, 0.0108762, 0.00933788, 0.0103018, 0.0122024, 0.0100565, 0.00838641, 0.00903849, 0.0112138, 0.00986815, 0.0130669, 0.0106748, 0.0101446, 0.00786076, 0.00933033, 0.0111124, 0.0107753, 0.0108411, 0.0125714, 0.00760513, 0.0114647, 0.00989927, 0.0106892, 0.00948994, 0.00800459, 0.0109644, 0.0093557, 0.0105962, 0.0100847, 0.0110862, 0.00936783, 0.0101705, 0.00920036, 0.00788007, 0.0115494, 0.00939158, 0.00951039, 0.010365, 0.00816261, 0.0100654, 0.00840608, 0.011483, 0.00967745, 0.0101009, 0.00891555, 0.0114868, 0.00958936]",0.5
