corrida,tiempo,algoritmo,densidad,resultado,p
0,0.1207,EG,0,"[0.5, 1.0]",0.5
1,0.0938,EG,0,"[0.5, 1.0]",0.5
2,0.1185,EG,0,"[0.5, 1.0]",0.5
3,0.1336,EG,0,"[0.5, 1.0]",0.5
4,0.0979,EG,0,"[0.5, 1.0]",0.5
5,0.1242,EG,0,"[0.5, 1.0]",0.5
6,0.1022,EG,0,"[0.5, 1.0]",0.5
7,0.1826,EG,0,"[0.5, 1.0]",0.5
8,0.1454,EG,0,"[0.5, 1.0]",0.5
9,0.1029,EG,0,"[0.5, 1.0]",0.5
0,0.3383,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
1,0.4363,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
2,0.345,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
3,0.3959,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
4,0.421,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
5,0.2744,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
6,0.3331,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
7,0.3377,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
8,0.4035,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
9,0.49,EG,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
0,0.734,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
1,0.8068,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
2,0.6435,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
3,1.0015,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
4,0.645,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
5,0.6364,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
6,0.5669,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
7,0.7467,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
8,0.6331,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
9,0.5734,EG,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
