corrida,tiempo,algoritmo,densidad,resultado,p
0,0.7519,GS,0,"[0.5, 1.0]",0.5
1,0.0194,GS,0,"[0.5, 1.0]",0.5
2,0.0217,GS,0,"[0.5, 1.0]",0.5
3,0.0257,GS,0,"[0.5, 1.0]",0.5
4,0.0188,GS,0,"[0.5, 1.0]",0.5
5,0.0189,GS,0,"[0.5, 1.0]",0.5
6,0.0153,GS,0,"[0.5, 1.0]",0.5
7,0.0217,GS,0,"[0.5, 1.0]",0.5
8,0.0216,GS,0,"[0.5, 1.0]",0.5
9,0.0151,GS,0,"[0.5, 1.0]",0.5
0,0.0423,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
1,0.0433,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
2,0.0544,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
3,0.0421,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
4,0.0627,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
5,0.0674,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
6,0.0584,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
7,0.0561,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
8,0.0541,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
9,0.042,GS,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
0,0.0984,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
1,0.0778,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
2,0.0775,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
3,0.0779,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
