corrida,tiempo,algoritmo,densidad,resultado,p
0,0.8552,JA,0,"[0.5, 1.0]",0.5
1,0.0635,JA,0,"[0.5, 1.0]",0.5
2,0.0802,JA,0,"[0.5, 1.0]",0.5
3,0.0635,JA,0,"[0.5, 1.0]",0.5
4,0.1105,JA,0,"[0.5, 1.0]",0.5
5,0.0944,JA,0,"[0.5, 1.0]",0.5
6,0.0896,JA,0,"[0.5, 1.0]",0.5
7,0.0696,JA,0,"[0.5, 1.0]",0.5
8,0.1008,JA,0,"[0.5, 1.0]",0.5
9,0.1121,JA,0,"[0.5, 1.0]",0.5
0,0.1533,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
1,0.2229,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
2,0.2412,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
3,0.4945,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
4,0.2379,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
5,0.2106,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
6,0.2177,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
7,0.3194,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
8,0.2454,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
9,0.1547,JA,18,"[0.5, 0.357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143, 0.0357143]",0.5
0,0.2181,JA,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
